channel id,title,channel name,waktu publish
UCIqzqfsgUqctbM-MANntwuQ,Serotong? 😂 #Shorts,Putih Abu-Abu,2021-09-03T09:42:06Z,-
UCa3k1_nfBeXbf7be6Dcy_vQ,Kisah Pilu Hantu Endut – DMS [ Penelusuran ],Sara Wijayanto,2021-09-04T14:18:59Z,-
UCIqzqfsgUqctbM-MANntwuQ,Mati rusa 🤣 #Shorts,Putih Abu-Abu,2021-09-01T03:50:41Z,-
UC5xAPCVizxOfnMECMXkal2Q,PAK NURUL KAGET RUMAHNYA AKAN DIRENOVASI 🏡❤ ..  Penantian Selama 30 Tahun..,Baim Paula,2021-09-05T08:30:55Z,-
UCIqzqfsgUqctbM-MANntwuQ,Beunta teh apa? 😂 #Shorts,Putih Abu-Abu,2021-09-05T08:15:01Z,-
UC4tS4Q_Cno5JVcIUXxQOOpA,DI BALIK PANGGUNG AWARD TADI MALAM.. Alhamdulillah..,Ricis Official,2021-09-05T10:00:26Z,-
UC7FE8E7nCP-sJO8o4FTo93Q,DENNY CAKNAN FT. NDARBOY GENK - OJO NANGIS (OFFICIAL LIVE MUSIC) - DC MUSIK,DC. PRODUCTION,2021-09-01T12:30:16Z,-
UCq9VjkTSRBvlyr0sSXwm8Kw,PERSIB 1 vs 0 PS BARITO PUTERA | Highlights,PERSIB,2021-09-04T23:00:13Z,-
UCa64Z5S3s3FqlLI1jnSXzAw,These toys eat their own poop | Vat19.com #shorts,Vat19 Shorts,2021-09-03T13:00:30Z,-
UCBBZ7No0AzEJ3qiatjSa-mg,Helping others is important || MOBILE GAME ADS BE LIKE || What if we were in a mobile game? #shorts,SMOL,2021-08-30T14:15:00Z,-
UCBBZ7No0AzEJ3qiatjSa-mg,AMAZING BALLOON TRICK #4 || Cool Experiments by SMOL! INCREÍBLE TRUCO DE GLOBO #Shorts #123GO #SMOL,SMOL,2021-08-27T15:15:01Z,-
UCe8yjo839EIfDdj8LgBb1ZA,(COVER) Bidadari Cinta - Selfi Yamma ft Faul Gayo,Selfi Yamma LIDA,2021-09-02T07:00:09Z,-
UCW5gbSGTGIukUDsPt2sdhGw,이하이 (LeeHi) - '구원자 (Savior) (Feat. B.I)' Official MV (ENG/CHN),AOMGOFFICIAL,2021-09-03T09:00:11Z,-
UCQZi2YXSxc6BSK4mZHql8ag,8 flips in the air 😳😦| #shorts,SportsNation,2021-08-25T01:59:52Z,-
UCgYmNAhjfv5GYWBOfzp831Q,KURIR NARKOBA,Maell Lee,2021-09-05T07:00:05Z,-
UCJMsY_ZDwjEPFAL7SgKZ6tw,Lord Adi Ga Bisa Masak Ikan Pari ??!! Wah Bahaya ini !,Ade Koerniawan,2021-09-04T05:17:26Z,-
UCPAxpUn1mrn14xU0JpsLhDg,"Politisi Malaysia Bingung, Kok Bisa Covid-19 di Indonesia Turun Cepat Dibanding Negaranya?",Kompas.com,2021-09-05T05:51:55Z,-
UC6FjcBcH9NVHdfFSvNfHmuA,ENZY & HESTY NGAKAK‼️ ARAFAH PUSING PUNYA ADEK KAYAK PUNGLI‼️ TIAP BANTUIN MINTA UPETI,KUY Entertainment,2021-08-31T10:00:03Z,-
UCBBZ7No0AzEJ3qiatjSa-mg,HOW DO YOU LIKE THIS AMAZING BALLOON GAME? || Funny Tricks by SMOL! #5 #Shorts #123GO #SMOL,SMOL,2021-08-29T10:00:03Z,-
UCxxnxya_32jcKj4yN1_kD7A,Tokyo Revengers - Episode 21 [Takarir Indonesia],Muse Indonesia,2021-08-28T18:08:08Z,-
UCahTAYi2kWY-YVOYUf12YhA,SISWA KAYA vs BANGKRUT || Jatuh Hati dengan Gadis Miskin! Situasi kehidupan Luar Biasa RATATA COOL,RATATA COOL Indonesian,2021-09-03T02:00:14Z,-
UCxxnxya_32jcKj4yN1_kD7A,Tokyo Revengers - Episode 22 [Takarir Indonesia],Muse Indonesia,2021-09-04T18:08:10Z,-
UCuKBrPMWsTAtbTAxy7MaOCA,GALA GALA - Tasya Rosmala ft Brodin Ageng Music (Official Live Music),Ageng Music Official,2021-08-30T04:00:12Z,-
UCOmHUn--16B90oW2L6FRR3A,LISA - FIRST SINGLE ALBUM LALISA VISUAL TEASER #3,BLACKPINK,2021-09-02T15:00:07Z,-
UC8ll9BB0vLLCmCEDXLhJLoQ,BIKIN BULU KUDUK NAIK! BILQIS FEAT AYU TING TING - [AE DEIL HIMUSHKIL] | Grand Final,Rising Star Indonesia Dangdut,2021-08-30T15:30:41Z,-
UC24_Z2L-8Ki183AI9zJJzNQ,"Reza Artamevia, Pacar Pertama Komandan Datang! | LAPOR PAK! (06/09/21) Part 1",TRANS7 OFFICIAL,2021-09-06T23:30:02Z,-
UC5gxP-2QqIh_09djvlm9Xcg,DUMB THINGS WE ALL DO (PART 6) 🤦🏻‍♂️,Alan Chikin Chow,2021-09-01T02:00:04Z,-
UCk2E0dbAyEJWnrN2bbQOcbg,NCIT HOUSE : Our sharehouse with full of joy and love🏡,NCT 127,2021-09-01T15:00:08Z,-
UCJMsY_ZDwjEPFAL7SgKZ6tw,Jangan Ngomong Harta Depan Gua ! #ML Lord Adi Masterchef,Ade Koerniawan,2021-09-05T11:15:11Z,-
UC4tS4Q_Cno5JVcIUXxQOOpA,SEMUA UDAH JELAS.,Ricis Official,2021-09-04T08:00:02Z,-
UC6FjcBcH9NVHdfFSvNfHmuA,ARAFAH EMANG KOCAK!! ENZY & HESTY AMPE NGAKAK!! PUNYA ADE KEK PUNGLI #short,KUY Entertainment,2021-09-03T09:00:22Z,-
UCX6OQ3DkcsbYNE6H8uQQuVA,"Extreme $500,000 Game Of Tag!",MrBeast,2021-09-04T20:00:07Z,-
UC8viE0Ajiq6VGiXE3zkM9gA,Cinta Laura Kiehl - Markisa (Official Music Video),Cinta Laura Kiehl,2021-09-03T12:00:12Z,-
UCvm4qyl3nXVXc9QyJguOpdA,Ternyata Rizky Billar & Lesti Dari Awal Sudah Saling Jatuh Cinta | Was Was | Eps 171,Was Was,2021-09-06T08:00:28Z,-
UC_AT08wkTrxYQ8KS5nejEyA,0 IQ Defender Play #shorts,GALAXY,2021-08-12T21:00:06Z,-
UCJMsY_ZDwjEPFAL7SgKZ6tw,Gamau Bikin Juri Terlalu Kaget ?! #ML Lord Adi Masterchef,Ade Koerniawan,2021-09-05T11:00:12Z,-
UC54CCNPLq_NxG_8gjMs62NQ,Difarina Indra feat Fendik Adella - Kebelet - OM ADELLA [OFFICIAL],ADELLA OFFICIAL,2021-09-03T05:30:13Z,-
UCuMAjEaSMj7q7YLf0xW1MjQ,Detik-detik Coki Pardede Diamankan Polisi Terkait Narkoba!,detikcom,2021-09-02T10:44:03Z,-
UCJCSL8IJfD4d5nunRrmrT1Q,"Bismillah, Brand makeup aku Mother Of Pearl ! FIRST LAUNCH 🦋",tasya farasya,2021-09-04T10:02:08Z,-
UC0uHeGDHQiNalfCg8S5J8Eg,HAPPY ASMARA - ORA ISO LALI (Official Music Video) | Gusti Kulo Nyuwun Paringono,Adhigana Music,2021-09-01T13:00:12Z,-
UC2sVRtimSUdDN2myZ6Cf03w,Nella Kharisma Feat. Dory Harsa - Ojo Njaluk Pegat [OFFICIAL],Nella Kharisma Official,2021-09-06T12:00:13Z,-
UCwIzd032IQjvJ9larkdcwgg,KIAT ANEH YANG PASTI INGIN KAMU COBA || Trik Mudah Dan Ide Makanan Lucu oleh 123 GO! GOLD,123 GO! GOLD Indonesian,2021-08-30T08:40:24Z,-
UC-S7cyZCojMeVopBkH6yNEw,ANDAI PONSEL JADI MANUSIA || HP-ku Sahabatku! Situasi Lucu oleh 123 GO! CHALLENGE,123 GO! CHALLENGE Indonesian,2021-08-29T10:00:10Z,-
UCXZuKhvf6ZdLpqHMuXSC0Fw,[FULL]  INTEROGASI GILANG DIRGA BIKIN NGAKAK | LAPOR PAK! (24/08/21),TRANS7 Lifestyle,2021-08-28T13:15:03Z,-
UC8ll9BB0vLLCmCEDXLhJLoQ,MOMENT LANGKA! DUET MAUT! AYU TING TING & MASTER IGUN | Grand Final | Rising Star Indonesia,Rising Star Indonesia Dangdut,2021-08-30T15:33:41Z,-
UCraCjR5btmMFGdb3EtBMM1Q,SEAFOOD PINGGIRAN 50.000!? PAKAI BASKOM MANDI ANAK BOCAH WKWK,MGDALENAF,2021-08-29T11:32:59Z,-
UC-S7cyZCojMeVopBkH6yNEw,MAKAN MAKANAN SEWARNA SELAMA 24 JAM || Mukbang Warna! Terakhir STOP MENANG oleh 123 GO! CHALLENGE,123 GO! CHALLENGE Indonesian,2021-09-03T07:00:01Z,-
UC8JXxmLOudOKybJSCwbec6Q,Nerf War | Water Park & SPA Battle 4 (Nerf First Person Shooter),KAMIWAZA Trickshot,2021-09-05T01:00:11Z,-
UCM3SMB1jINy_NxH1O01z5gA,[2021] Free Fire Master League Season IV Divisi 1 - Match Day 5,Garena Free Fire Indonesia,2021-09-04T17:02:44Z,-
UCk4WLjx0VcOyWek5ml6elZQ,AKU BUKAN JODOH NYA - SASYA ARKHISNA | LANJUTKAN PERJUANGANKU TUKNYA(OFFICIAL LIVE MUSIC VIDEO ),MAHA PROJECT,2021-09-03T08:00:13Z,-
